order_id,order_date,customer_id,cohort_month,category,product_name,sku,size,units,gross_revenue,discount,net_sales,product_cost,shipping_cost,payment_fee,returned,return_reason,return_logistics_cost,refund_amount,return_adjusted_profit,city,state,city_tier,channel,inventory_on_hand,stockout_risk,markdown_risk
ORD102441,2025-01-01,C34436,2025-01,Footwear,Heels,FO-HEE-XL,XL,1,1337.13,144.55,1192.58,632.45,139.8,21.51,True,Fabric expectation mismatch,204.29,1102.06,-907.53,Mysuru,Karnataka,Tier 3,Web,163,0.561,0.533
ORD107753,2025-01-01,C40531,2025-01,Ethnic Wear,Saree,ET-SAR-M,M,1,2263.6,735.82,1527.78,792.9,89.99,22.85,False,Not returned,0.0,0.0,622.04,Chennai,Tamil Nadu,Tier 1,App,143,0.514,0.119
ORD102315,2025-01-01,C78534,2025-01,Ethnic Wear,Palazzo Set,ET-PAL-L,L,1,2434.0,48.68,2385.32,1215.28,93.09,47.35,False,Not returned,0.0,0.0,1029.6,Surat,Gujarat,Tier 2,App,103,0.144,0.213
ORD107362,2025-01-01,C59089,2025-01,Accessories,Handbag,AC-HAN-OneSize,One Size,1,995.03,19.9,975.13,429.99,97.63,14.32,False,Not returned,0.0,0.0,433.19,Indore,Madhya Pradesh,Tier 2,App,203,0.083,0.171
ORD104690,2025-01-01,C61238,2025-01,Western Wear,Denim Jacket,WE-DEN-M,M,2,4370.23,896.02,3474.21,1812.99,148.72,65.3,False,Not returned,0.0,0.0,1447.2,Delhi NCR,Delhi,Tier 1,App,322,0.338,0.045
ORD101948,2025-01-01,C54796,2025-01,Activewear,Leggings,AC-LEG-L,L,1,1359.3,278.32,1080.98,654.37,97.42,23.83,False,Not returned,0.0,0.0,305.36,Hyderabad,Telangana,Tier 1,Web,332,0.113,0.39
ORD102258,2025-01-01,C23567,2025-01,Western Wear,Crop Top,WE-CRO-L,L,1,1365.19,550.82,814.37,499.1,108.81,17.82,True,Size too small,179.51,785.58,-776.45,Ajmer,Rajasthan,Tier 3,App,298,1.0,0.57
ORD106905,2025-01-01,C40884,2025-01,Western Wear,Crop Top,WE-CRO-XXL,XXL,1,1110.41,348.65,761.76,431.74,97.57,15.04,False,Not returned,0.0,0.0,217.41,Delhi NCR,Delhi,Tier 1,Web,203,0.53,0.093
ORD105082,2025-01-01,C59230,2025-01,Western Wear,Crop Top,WE-CRO-XL,XL,2,2983.65,537.31,2446.34,1483.11,156.37,45.01,False,Not returned,0.0,0.0,761.85,Udaipur,Rajasthan,Tier 3,Web,196,0.332,0.426
ORD105759,2025-01-01,C70106,2025-01,Beauty,Kajal,BE-KAJ-OneSize,One Size,1,408.24,105.62,302.62,141.03,87.22,6.93,False,Not returned,0.0,0.0,67.44,Pune,Maharashtra,Tier 1,Web,117,0.085,0.301
ORD103673,2025-01-01,C45377,2025-01,Footwear,Heels,FO-HEE-XXL,XXL,1,2262.49,317.91,1944.58,1140.19,87.11,46.58,False,Not returned,0.0,0.0,670.7,Delhi NCR,Delhi,Tier 1,App,172,0.481,0.462
ORD101408,2025-01-01,C11776,2025-01,Western Wear,Crop Top,WE-CRO-S,S,2,3478.11,904.24,2573.87,1357.77,126.14,45.95,True,Size too small,170.18,2484.06,-1610.23,Mumbai,Maharashtra,Tier 1,App,145,0.387,0.534
ORD108282,2025-01-01,C61578,2025-01,Footwear,Juttis,FO-JUT-XS,XS,1,741.64,130.8,610.84,325.47,74.51,11.18,False,Not returned,0.0,0.0,199.68,Surat,Gujarat,Tier 2,Marketplace,190,0.357,0.247
ORD106301,2025-01-01,C14132,2025-01,Western Wear,Wide-leg Jeans,WE-WID-L,L,1,2208.33,481.25,1727.08,1049.16,64.74,35.41,True,Changed mind,118.8,1645.5,-1186.53,Indore,Madhya Pradesh,Tier 2,Marketplace,74,0.61,0.303
ORD101487,2025-01-01,C90001,2025-01,Western Wear,Bodycon Dress,WE-BOD-XS,XS,1,1051.24,383.3,667.94,383.76,87.64,10.53,True,Size too small,109.74,582.29,-506.02,Lucknow,Uttar Pradesh,Tier 2,Web,51,0.336,0.625
ORD101481,2025-01-01,C48611,2025-01,Footwear,Heels,FO-HEE-S,S,1,1397.48,241.31,1156.17,723.17,85.47,26.43,True,Size too small,130.97,1044.64,-854.51,Surat,Gujarat,Tier 2,App,145,0.43,0.591
ORD107005,2025-01-01,C53914,2025-01,Western Wear,Crop Top,WE-CRO-S,S,1,1680.19,580.66,1099.53,620.74,97.19,16.28,False,Not returned,0.0,0.0,365.32,Indore,Madhya Pradesh,Tier 2,App,261,0.507,0.316
ORD106413,2025-01-02,C18157,2025-01,Activewear,Training Tee,AC-TRA-S,S,1,1278.87,155.85,1123.02,704.23,92.67,16.54,False,Not returned,0.0,0.0,309.58,Hyderabad,Telangana,Tier 1,Web,155,0.168,0.187
